Admin. & Support/Waste Mgmt./Remedia. Serv.,Manufacturing,Construction,Health Care & Social Assistance,Accomodation & Food Services
7110,5736,5696,7484,6737
7594,6696,6234,7895,7334
6400,5722,6027,6555,4439
8222,6134,13213,4971,6192
6047,5735,5790,5970,4279
7174,7014,7782,6456,5035
7125,6874,10175,5337,5326
8647,7017,12854,5122,7368
6799,5468,10447,5041,5238
5340,5935,4947,5946,5359
5756,7020,4635,6392,5738
5698,6411,6466,5018,3673
5989,4887,7886,4872,4059
5704,6065,4665,5929,4164
5396,8209,5244,5201,3274
4966,5068,4646,4984,3105
4586,5261,4968,3988,3009
6280,8246,7398,5227,4393
7717,8832,11774,5366,6619
7577,6530,10449,4650,5445
5306,4919,7225,4592,3514
5082,4412,4843,4642,3385
5010,4405,3866,5718,5128
5214,5572,3168,5860,5231
5343,6289,3636,5630,3727
4882,4682,3760,5163,2934
4745,4628,3460,4644,2774
5252,5234,4700,4836,3341
5882,5354,7861,4928,3939
7849,6104,11951,4877,5956
7700,5734,13830,4828,5338
6020,5063,8343,4671,4331
4814,3676,5398,4349,2997
4538,3750,4120,4415,2821
4384,3373,3587,5056,4607
4518,4032,2837,5211,4585
4312,3238,3036,4845,3417
3884,4092,3265,4150,2198
4015,3384,3102,4090,2245
4258,3583,3815,3992,2744
4699,3964,5855,3760,3165
6276,6637,10354,3389,4807
6220,6360,9046,3380,4337
5159,3828,8222,3467,3621
3862,3553,4431,3306,2253
3607,3156,3483,3201,2146
3695,3155,3051,4047,3858
3680,3301,2747,4103,4128
4009,3692,2657,3997,3131
3460,3312,2608,3319,1659
3180,3334,2308,3068,1655
3455,3543,2991,2936,1997
5375,6148,8023,2572,4116
5842,4312,9124,2916,3947
4175,3599,5946,2619,2765
3016,3141,2883,2344,1583
2832,5405,2253,2314,1389
2892,2406,1759,3162,3390
3780,3164,2221,3699,3543
3489,3142,2049,3032,1686
3589,3011,4808,2525,2480
4972,3851,7046,2638,3695
4458,4181,6124,2498,3072
3914,3507,5151,2569,2497
3016,2706,3740,2537,1687
2922,2753,3175,2680,1784
2978,2665,2392,3428,3401
3130,5092,2060,3525,3798
3246,2968,2042,3170,3245
2570,2214,2126,2622,1300
2955,5318,2197,2544,1521
2615,4902,2802,2432,1760
3172,2449,4192,2514,2241
4639,3454,8486,2590,3552
4236,2750,7198,2601,2870
3158,2425,5100,2473,2237
2646,2269,3597,2443,1409
2442,5432,2597,2455,1478
2379,2067,1908,3145,3179
2452,2743,1736,3368,3553
2284,2000,1812,2725,1720
2054,2026,1655,2312,1098
2055,1872,1785,2369,1246
2065,1885,2864,2074,1422
2708,2425,3610,2145,1954
3729,2304,5328,2260,3372
2420,3114,1374,3035,3381
2117,2144,1342,2377,1649
2108,2477,2512,1873,1294
2409,2397,3215,1903,1634
3284,5048,5430,1934,2777
3405,2643,6182,1890,2442
2560,2375,4295,1901,2195
20437,35543,13076,29282,60232
22755,33069,11605,27427,57682
21083,17074,9714,25750,48660
20149,15379,8537,22040,40722
13901,9437,5921,14986,23759
7210,5875,3778,8103,7840
5797,4500,3767,6496,6310
5406,3975,4235,6049,7488
7000,4286,7463,6268,8874
7479,5709,11137,6286,7707
6747,7794,4480,6651,7553
6265,13278,3607,6421,6954
5325,11426,2618,6259,6801
4406,8158,1826,5506,6238
3360,3913,1592,4289,4616
2576,10516,1454,2919,1942
1892,1653,1479,2358,1383
1758,3854,1455,2034,1196
1903,4885,2025,1807,1573
2635,5489,4486,1694,1995
2004,1288,3182,1544,1312
1546,1293,1685,1593,821
1389,1227,1133,1611,921
1708,1572,901,1956,2370
1478,1542,907,1475,822
1569,3051,886,1492,836
1593,1289,1097,1470,1075
2029,1583,2096,1444,1486
2779,3510,3089,1622,2479
2754,1755,3362,1568,2019
2161,1985,2415,1516,1551
1806,1462,1239,1495,967
1863,1494,1071,1589,1099
1938,1562,950,2089,2419
2030,1726,993,2209,2735
2122,2918,1000,2208,2569
1957,1809,897,1744,992
2190,2395,1006,1704,1042
1990,2026,1214,1659,1240
2985,2928,4275,1849,2638
2924,3074,3296,1778,2196
2316,2676,2220,1726,1611
1894,1868,1566,1722,1182
1913,1827,1358,1886,1557
2019,1835,1073,2380,2489
2002,1813,1031,2163,1878
1888,1752,1059,1908,1040
1828,2638,1017,1900,1130
